Palabra              Idf                 
nombr               : 0.47712125471966244 
comprension         : 0.47712125471966244 
segund              : 0.0                 
automatic           : 0.47712125471966244 
demostr             : 0.47712125471966244 
importantisim       : 0.47712125471966244 
identific           : 0.47712125471966244 
paradigm            : 0.47712125471966244 
conductor           : 0.47712125471966244 
desmotiv            : 0.47712125471966244 
interrump           : 0.47712125471966244 
justif              : 0.47712125471966244 
oro                 : 0.47712125471966244 
tra                 : 0.0                 
profesor            : 0.0                 
dat                 : 0.47712125471966244 
visibl              : 0.47712125471966244 
alumn               : 0.47712125471966244 
baj                 : 0.0                 
grupal              : 0.47712125471966244 
ofrec               : 0.47712125471966244 
abad                : 0.47712125471966244 
arrepent            : 0.47712125471966244 
estab               : 0.0                 
peligr              : 0.47712125471966244 
posit               : 0.17609125905568124 
ejecut              : 0.47712125471966244 
entrevist           : 0.47712125471966244 
introduc            : 0.17609125905568124 
dier                : 0.47712125471966244 
discusion           : 0.47712125471966244 
atiend              : 0.47712125471966244 
chat                : 0.47712125471966244 
vide                : 0.17609125905568124 
des                 : 0.47712125471966244 
esta                : 0.0                 
durant              : 0.0                 
medi                : 0.0                 
esquematiz          : 0.47712125471966244 
conten              : 0.17609125905568124 
anterior            : 0.17609125905568124 
leen                : 0.47712125471966244 
imprim              : 0.47712125471966244 
correg              : 0.47712125471966244 
usuari              : 0.17609125905568124 
band                : 0.47712125471966244 
muestr              : 0.17609125905568124 
reglament           : 0.47712125471966244 
=                   : 0.47712125471966244 
vincul              : 0.17609125905568124 
coheter             : 0.47712125471966244 
propi               : 0.0                 
prohib              : 0.47712125471966244 
proporcion          : 0.47712125471966244 
seminal             : 0.47712125471966244 
invert              : 0.47712125471966244 
disculp             : 0.47712125471966244 
entrad              : 0.47712125471966244 
convers             : 0.17609125905568124 
continu             : 0.47712125471966244 
ibam                : 0.47712125471966244 
necesari            : 0.17609125905568124 
enderez             : 0.47712125471966244 
are                 : 0.0                 
jornal              : 0.17609125905568124 
funcion             : 0.0                 
industri            : 0.47712125471966244 
vent                : 0.17609125905568124 
pupil               : 0.47712125471966244 
maquin              : 0.47712125471966244 
integr              : 0.47712125471966244 
percepcion          : 0.47712125471966244 
dur                 : 0.47712125471966244 
dient               : 0.47712125471966244 
mi                  : 0.0                 
analiz              : 0.47712125471966244 
val                 : 0.17609125905568124 
tabler              : 0.47712125471966244 
neces               : 0.17609125905568124 
expo                : 0.17609125905568124 
rabin               : 0.47712125471966244 
condicion           : 0.47712125471966244 
sient               : 0.0                 
atar                : 0.47712125471966244 
pagin               : 0.47712125471966244 
util                : 0.17609125905568124 
enlaz               : 0.47712125471966244 
discern             : 0.47712125471966244 
acuerdens           : 0.47712125471966244 
cort                : 0.47712125471966244 
doming              : 0.47712125471966244 
frecuent            : 0.17609125905568124 
comentel            : 0.47712125471966244 
solucion            : 0.47712125471966244 
loc                 : 0.47712125471966244 
vim                 : 0.0                 
suced               : 0.17609125905568124 
teni                : 0.17609125905568124 
cos                 : 0.0                 
diari               : 0.47712125471966244 
volv                : 0.47712125471966244 
cuchill             : 0.47712125471966244 
alev                : 0.47712125471966244 
air                 : 0.17609125905568124 
opinion             : 0.17609125905568124 
darl                : 0.0                 
falenci             : 0.47712125471966244 
concept             : 0.17609125905568124 
entran              : 0.47712125471966244 
prepar              : 0.0                 
comprend            : 0.47712125471966244 
respetu             : 0.47712125471966244 
maxim               : 0.47712125471966244 
catherin            : 0.47712125471966244 
desactualiz         : 0.47712125471966244 
chup                : 0.47712125471966244 
lad                 : 0.0                 
aprend              : 0.0                 
romp                : 0.17609125905568124 
exposicion          : 0.0                 
especif             : 0.17609125905568124 
posicion            : 0.17609125905568124 
facebook            : 0.17609125905568124 
estan               : 0.0                 
escenari            : 0.17609125905568124 
ring                : 0.47712125471966244 
resumam             : 0.47712125471966244 
tien                : 0.0                 
abstract            : 0.47712125471966244 
dej                 : 0.0                 
equip               : 0.17609125905568124 
coj                 : 0.47712125471966244 
exclus              : 0.47712125471966244 
pas                 : 0.0                 
dirig               : 0.47712125471966244 
tierr               : 0.47712125471966244 
plagi               : 0.47712125471966244 
cicl                : 0.47712125471966244 
asad                : 0.47712125471966244 
veng                : 0.17609125905568124 
colabor             : 0.17609125905568124 
guid                : 0.47712125471966244 
srta                : 0.47712125471966244 
vac                 : 0.47712125471966244 
fech                : 0.17609125905568124 
cam                 : 0.47712125471966244 
punt                : 0.0                 
clasic              : 0.47712125471966244 
analizal            : 0.47712125471966244 
impresion           : 0.47712125471966244 
rescat              : 0.47712125471966244 
verifiqu            : 0.47712125471966244 
debat               : 0.47712125471966244 
reaccion            : 0.47712125471966244 
extorsion           : 0.47712125471966244 
segur               : 0.17609125905568124 
tard                : 0.17609125905568124 
expon               : 0.47712125471966244 
particul            : 0.17609125905568124 
inconscient         : 0.47712125471966244 
cobr                : 0.17609125905568124 
revision            : 0.47712125471966244 
softwar             : 0.17609125905568124 
super               : 0.47712125471966244 
prof                : 0.47712125471966244 
impact              : 0.47712125471966244 
escuch              : 0.17609125905568124 
dad                 : 0.17609125905568124 
senescyt            : 0.47712125471966244 
exij                : 0.47712125471966244 
chir                : 0.47712125471966244 
enlac               : 0.17609125905568124 
extra               : 0.47712125471966244 
famos               : 0.47712125471966244 
pan                 : 0.47712125471966244 
pendriv             : 0.47712125471966244 
imagen              : 0.47712125471966244 
aleman              : 0.47712125471966244 
